,time,online_reason,algebra,geometry,russian,literature,history,foreign,physics,chemystry,geography,social,biology,informatics,other,gum,it,econ,ped,med,est,ing,alg_base,geom_base,rus_base,lit_base,phy_base,chem_base,bio_base,geo_base,for_base,it_base,soc_base,his_base,no_base,alg_adv,geom_adv,rus_adv,lit_adv,phy_adv,chem_adv,bio_adv,geo_adv,for_adv,it_adv,soc_adv,his_adv,no_adv,math_town,rus_town,lit_town,phy_town,chem_town,bio_town,geo_town,for_town,it_town,soc_town,his_town,no_town,math_region,rus_region,lit_region,phy_region,chem_region,bio_region,geo_region,for_region,it_region,soc_region,his_region,no_region,math_state,rus_state,lit_state,phy_state,chem_state,bio_state,geo_state,for_state,it_state,soc_state,his_state,no_state,math_other,rus_other,lit_other,phy_other,chem_other,bio_other,geo_other,for_other,it_other,soc_other,his_other,no_other,vol_other,sport_other,events_other
0,28.03.2018 0:16:56,Недостаточное качество или объем образовательной программы,4.2,4.6,4.0,4.7,4.7,4.9,4.9,4.7,4.7,4.7,4.8,4.7,Нигде,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,28.03.2018 0:27:16,Не люблю рано вставать,3.7,3.2,4.7,4.8,4.5,4.9,3.3,3.8,4.0,4.0,4.5,5.0,"Волонтерском движении, Общественных мероприятиях",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2,28.03.2018 0:28:26,Хотел бы получить больше свободного времени,4.8,4.7,4.6,4.3,3.6,4.7,4.7,4.9,4.1,4.3,4.7,4.2,"Спортивных мероприятиях, Общественных мероприятиях",0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
3,28.03.2018 0:29:54,Не люблю рано вставать,4.8,4.9,4.9,5.0,4.8,4.9,4.7,5.0,4.9,4.8,4.9,5.0,"Спортивных мероприятиях, Общественных мероприятиях",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,28.03.2018 0:30:29,Никогда не стал бы учиться онлайн,4.2,4.1,4.7,4.7,4.7,4.9,4.3,3.4,4.1,4.3,4.4,4.7,"Волонтерском движении, Спортивных мероприятиях, Общественных мероприятиях",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
5,28.03.2018 0:33:11,Хотел бы получить больше свободного времени,3.6,3.6,4.8,4.9,3.3,4.2,3.3,4.1,3.6,4.3,4.1,4.6,Общественных мероприятиях,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6,28.03.2018 0:35:30,Никогда не стал бы учиться онлайн,4.4,4.8,4.3,4.8,4.8,4.5,4.2,4.7,4.8,4.8,4.8,4.8,Общественных мероприятиях,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7,28.03.2018 0:36:45,Хотел бы получить больше свободного времени,3.7,4.8,4.7,4.8,4.1,3.6,3.1,3.4,3.2,4.0,3.7,4.8,"Волонтерском движении, Общественных мероприятиях",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
8,28.03.2018 0:36:57,Недостаточный профессионализм учителей,3.5,3.4,4.5,4.9,4.6,5.0,4.0,5.0,4.7,4.1,4.8,3.9,Нигде,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,28.03.2018 0:37:54,Не люблю рано вставать,4.1,3.7,4.5,4.1,4.8,5.0,3.5,2.4,4.0,4.4,3.3,4.2,Спортивных мероприятиях,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10,28.03.2018 0:38:16,Никогда не стал бы учиться онлайн,4.6,4.1,5.0,4.8,3.6,4.9,4.0,3.7,4.6,4.9,4.5,4.7,"Спортивных мероприятиях, Общественных мероприятиях",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
11,28.03.2018 0:38:45,Недостаточный профессионализм учителей,4.7,4.7,4.1,4.8,4.1,4.0,4.1,4.0,4.8,4.0,4.4,4.7,Нигде,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,28.03.2018 0:38:58,Недостаточное качество или объем образовательной программы,3.4,3.8,3.9,4.4,3.5,3.3,3.9,3.4,4.3,4.7,4.3,4.8,Спортивных мероприятиях,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
13,28.03.2018 0:39:33,Не люблю рано вставать,4.1,3.2,4.8,4.9,4.8,4.6,3.0,3.1,4.1,4.6,4.3,4.7,"Волонтерском движении, Общественных мероприятиях",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
14,28.03.2018 0:39:55,Недостаточный профессионализм учителей,4.0,4.1,4.9,5.0,4.7,4.7,3.4,3.6,4.1,4.3,4.8,4.1,Нигде,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,28.03.2018 0:42:17,Хотел бы получить больше свободного времени,4.1,4.3,4.6,4.7,4.3,4.6,3.8,4.1,3.8,3.3,3.2,3.8,"Волонтерском движении, Спортивных мероприятиях, Общественных мероприятиях",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1
16,28.03.2018 0:42:32,Хотел бы получить больше свободного времени,4.2,4.6,4.9,5.0,4.2,4.8,4.3,4.1,4.9,4.7,4.8,4.9,"Спортивных мероприятиях, Общественных мероприятиях",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
17,28.03.2018 0:42:47,Недостаточное качество или объем образовательной программы,4.3,3.4,5.0,4.7,4.7,5.0,4.7,4.0,3.5,4.2,4.6,4.3,Нигде,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
18,28.03.2018 0:43:12,Недостаточное качество или объем образовательной программы,4.4,4.4,5.0,4.6,4.8,5.0,4.4,4.1,4.2,4.5,4.6,4.4,Нигде,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,28.03.2018 0:44:02,Не люблю рано вставать,4.6,4.5,4.8,4.9,4.2,5.0,4.5,4.2,4.3,4.8,4.6,4.3,"Спортивных мероприятиях, Общественных мероприятиях",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
20,28.03.2018 0:44:05,Никогда не стал бы учиться онлайн,4.0,4.4,3.9,4.7,4.7,4.8,3.3,3.9,4.7,3.2,3.3,3.2,сделал исследовательскую работу на тему исторической персоны и участвовал в различных конкурсах регионального и всероссийского масштаба  ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,28.03.2018 0:44:17,Хотел бы получить больше свободного времени,3.5,3.7,5.0,4.9,4.4,5.0,4.3,3.8,4.9,4.0,4.7,4.8,"Волонтерском движении, Общественных мероприятиях",0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
22,28.03.2018 0:45:52,Хотел бы получить больше свободного времени,4.9,4.7,4.9,4.7,4.9,4.7,4.8,4.9,5.0,5.0,4.8,4.9,Спортивных мероприятиях,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
23,28.03.2018 0:46:17,Хотел бы получить больше свободного времени,4.8,4.7,4.3,5.0,4.3,4.8,3.5,4.1,4.3,4.9,3.8,5.0,Нигде,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,28.03.2018 0:47:07,Недостаточное качество или объем образовательной программы,4.5,4.2,5.0,4.7,4.8,4.9,4.2,4.0,4.8,4.9,4.8,4.3,Спортивных мероприятиях,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
25,28.03.2018 0:47:35,Хотел бы получить больше свободного времени,4.3,4.5,4.6,4.2,4.0,4.2,4.4,4.5,4.4,4.0,4.0,4.6,Нигде,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,28.03.2018 0:48:58,Недостаточное качество или объем образовательной программы,4.8,4.3,4.9,4.7,4.8,4.8,5.0,4.4,4.9,4.8,4.8,4.8,Общественных мероприятиях,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
27,28.03.2018 0:49:01,Никогда не стал бы учиться онлайн,4.9,4.9,5.0,4.9,4.9,4.9,5.0,4.8,5.0,4.8,4.9,4.9,Общественных мероприятиях,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
28,28.03.2018 0:49:20,Не люблю рано вставать,4.6,4.1,5.0,4.2,4.7,4.8,4.1,4.7,4.7,4.8,4.8,4.7,Общественных мероприятиях,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
29,28.03.2018 0:50:03,Никогда не стал бы учиться онлайн,4.1,4.5,4.8,4.0,4.5,4.8,3.2,4.4,3.2,5.0,3.3,3.8,Общественных мероприятиях,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
30,28.03.2018 0:50:04,Недостаточный профессионализм учителей,4.7,4.8,4.7,4.9,4.3,3.7,4.0,3.4,3.3,3.8,3.5,4.1,"Волонтерском движении, Спортивных мероприятиях, Общественных мероприятиях",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
31,28.03.2018 0:50:24,Недостаточное качество или объем образовательной программы,4.8,4.8,4.7,4.7,4.9,5.0,4.1,4.2,4.7,4.9,4.8,4.8,"Волонтерском движении, Спортивных мероприятиях, Общественных мероприятиях",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
32,28.03.2018 0:50:52,Недостаточный профессионализм учителей,4.8,4.7,4.1,4.0,3.9,4.2,4.6,3.8,3.4,4.3,4.8,4.8,"Волонтерском движении, Общественных мероприятиях",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
33,28.03.2018 0:51:10,Хотел бы получить больше свободного времени,4.7,4.2,4.7,5.0,4.8,5.0,4.0,3.5,4.8,4.7,4.2,5.0,Общественных мероприятиях,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34,28.03.2018 0:52:15,Чтобы получить больший балл на ЕГЭ,3.4,4.1,5.0,4.8,4.9,4.4,4.4,4.5,4.7,4.7,4.9,3.2,Общественных мероприятиях,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
35,28.03.2018 0:52:30,Недостаточный профессионализм учителей,2.4,3.9,4.5,4.8,4.3,4.9,3.2,4.0,4.9,4.1,4.0,4.8,Нигде,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,28.03.2018 0:57:58,Хотел бы получить больше свободного времени,4.0,4.8,5.0,4.8,4.7,4.7,3.5,3.2,5.0,4.9,4.9,4.7,Волонтерском движении,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
37,28.03.2018 0:58:15,Недостаточное качество или объем образовательной программы,4.1,4.8,4.7,4.7,4.0,4.9,4.7,4.1,4.1,5.0,4.0,4.8,"Волонтерском движении, Общественных мероприятиях",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
38,28.03.2018 1:00:24,Недостаточный профессионализм учителей,4.2,3.3,4.9,4.7,4.5,4.3,3.3,4.5,4.1,4.1,4.8,4.7,Общественных мероприятиях,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
39,28.03.2018 1:00:48,Недостаточный профессионализм учителей,4.7,4.7,4.6,4.7,4.7,4.1,5.0,4.5,4.8,4.7,4.7,4.8,"Яндекс.алгоритмы, Samsung IT school ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
